City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,zambezi,-13.5432,23.1047,20.63,28,2,3.54,ZM,1725308994
147,port angeles,48.1181,-123.4307,18.34,86,100,4.12,US,1725308995
148,kaa-khem,51.6833,94.7333,10.17,66,76,2.64,RU,1725308997
149,geraldton,-28.7667,114.6,14.23,94,75,3.6,AU,1725308699
150,haiku-pauwela,20.9219,-156.3051,29.01,68,40,9.26,US,1725308999
151,newman,37.3138,-121.0208,35.96,13,0,1.17,US,1725309000
152,bhadra,29.1167,75.1667,28.39,76,92,2.93,IN,1725309002
153,enewetak,11.3474,162.3373,28.05,72,63,2.27,MH,1725309003
154,phan rang-thap cham,11.5667,108.9833,24.93,89,93,2.53,VN,1725309004
155,utrik,11.2278,169.8474,27.93,77,30,2.11,MH,1725309005
156,kolonia town,6.964,158.206,25.0,88,100,1.54,FM,1725309006
157,ljungby,56.8332,13.9408,13.78,80,100,3.3,SE,1725309008
158,hell-ville,-13.4,48.2667,25.13,72,56,1.91,MG,1725309009
159,tazovsky,67.4667,78.7,6.73,85,100,4.12,RU,1725309010
160,broome,42.2506,-75.833,19.76,52,20,4.92,US,1725309011
161,luderitz,-26.6481,15.1594,19.04,53,10,2.31,NA,1725309013
162,rikaze,29.25,88.8833,13.64,50,100,1.74,CN,1725309014
163,revda,56.801,59.9303,12.9,94,100,4.52,RU,1725309015
164,aykhal,66.0,111.5,10.5,83,100,3.92,RU,1725308969
165,selfoss,63.9331,-20.9971,8.91,92,100,2.95,IS,1725309017
166,makurazaki,31.2667,130.3167,24.35,80,31,1.82,JP,1725309019
167,udachny,66.4167,112.4,10.61,72,100,3.78,RU,1725309020
168,nguti,5.3299,9.4185,22.73,95,100,0.73,CM,1725309021
169,bilibino,68.0546,166.4372,9.99,91,100,0.66,RU,1725309022
170,jolo,6.05,121.0167,25.89,94,93,2.05,PH,1725309024
171,kashgar,39.4547,75.9797,23.56,7,20,11.0,CN,1725309025
172,santa cruz,-17.8,-63.1667,31.7,29,0,6.69,BO,1725308820
173,kapa'a,22.0752,-159.319,29.18,64,40,5.14,US,1725309027
174,tinajo,29.0788,-13.7081,23.49,69,75,10.29,ES,1725309029
175,aasiaat,68.7098,-52.8699,2.19,75,9,8.37,GL,1725309030
176,port kembla,-34.4667,150.9,9.42,59,0,3.71,AU,1725309031
177,barcelos,41.5388,-8.6151,17.6,75,61,3.38,PT,1725308748
178,jinchang,38.4953,102.1739,21.13,71,50,1.09,CN,1725309033
179,avarua,-21.2078,-159.775,24.03,83,100,9.77,CK,1725309035
180,vadso,70.0744,29.7487,11.09,87,0,4.63,NO,1725309036
181,tolanaro,-25.0319,46.9987,21.04,88,40,6.17,MG,1725309037
182,maraba,-5.3686,-49.1178,36.1,23,74,2.57,BR,1725308931
183,guozhen,34.3659,107.359,21.33,88,65,2.65,CN,1725309040
184,loukhi,66.0764,33.0381,10.15,89,48,1.91,RU,1725309041
185,stanthorpe,-28.6667,151.95,6.9,60,0,1.62,AU,1725309042
186,ust'-uda,54.1742,103.0304,6.48,96,85,1.3,RU,1725309043
187,crane,31.3974,-102.3501,22.67,78,100,4.1,US,1725309044
188,andergrove,-21.0833,149.1833,19.53,85,39,3.48,AU,1725309046
189,dudinka,69.4058,86.1778,9.33,88,100,5.91,RU,1725309047
190,leer,53.2316,7.461,21.64,84,70,1.71,DE,1725309048
191,san antonio de pale,-1.4014,5.6325,23.98,85,74,4.04,GQ,1725309049
192,altamira,-3.2033,-52.2064,33.05,55,20,2.06,BR,1725309051
193,kharkiv,50.0,36.25,24.56,39,100,5.23,UA,1725309052
194,daru,-9.0763,143.2092,25.16,90,99,7.03,PG,1725309053
195,new norfolk,-42.7826,147.0587,7.06,80,54,3.37,AU,1725309056
196,rokycany,49.7427,13.5946,21.04,92,15,0.45,CZ,1725309057
197,tamanrasset,22.785,5.5228,19.95,83,40,2.06,DZ,1725309058
198,primorsko-akhtarsk,46.0497,38.1747,22.18,74,40,2.06,RU,1725309059
199,sertolovo,60.1444,30.2017,18.59,78,100,2.12,RU,1725309060
200,shalqar,47.8333,59.6,17.64,28,0,3.09,KZ,1725309062
201,luganville,-15.5333,167.1667,25.68,65,13,6.1,VU,1725309063
202,twon-brass,4.3151,6.2418,25.51,84,97,4.54,NG,1725309064
203,nahiyat ash shinafiyah,31.5874,44.6602,33.94,24,0,8.81,IQ,1725309065
204,saint-pierre,-21.3393,55.4781,19.82,73,0,2.06,RE,1725309067
205,alo,6.5486,4.2686,24.21,88,94,2.92,NG,1725309068
206,coquimbo,-29.9533,-71.3436,15.85,65,0,4.63,CL,1725308922
207,dalandzadgad,43.5708,104.425,20.33,44,34,1.12,MN,1725309070
208,likiep,9.8251,169.3107,28.2,76,3,2.34,MH,1725309071
209,dadiya,9.6167,11.4333,23.18,91,100,1.52,NG,1725309073
210,swift current,50.2834,-107.8014,33.45,10,0,4.12,CA,1725309074
211,novodvinsk,64.4165,40.8122,10.86,88,18,1.5,RU,1725309075
212,papao,-17.75,-149.55,23.84,74,46,12.16,PF,1725309076
213,qaqortoq,60.7167,-46.0333,9.4,46,62,1.84,GL,1725308954
214,nuriootpa,-34.4833,139.0,4.8,84,0,1.22,AU,1725309079
